"ID","Publication type","Reporting date 1","Reporting date 2","Abstract","Date of acceptance","Addresses","File(s) confidential","Author's licence","Authors","Author URL","Collections","File(s) confidentiality reason","DOI","Edition","Editors","eISSN","File(s) embargo release date","External identifiers","Is compliant with institutional policy","File(s) embargoed","Open access","ISSN","Issue","Journal","Keywords","Language","Country","Medium","Notes","Article number","OA location file version","OA location URL","Online publication date","Pagination (start page)","Pagination (end page)","Pagination (page count)","PII","Publication date","Status","Public URL","Publisher","Publisher licence","Publisher URL","Record created at source","Record made publicly available","Relative citation ratio","Availability","Title","Article Type","Volume","Obj Hash","Citation count","ERA-2010 journal name","ERA 2010 rank","JCR journal name","JCR rank","SJR journal name","SJR rank","SNIP journal name","SNIP rank","Indexed in DOAJ","DOAJ CC Licence","Romeo colour","Romeo colour last updated when","Proprietary ID","Source","Canonical journal title","Journal data source"
"2162968","Journal article (Peer Reviewed)","24/06/2019",,"OBJECTIVE: To evaluate the association of sex with masked hypertension, defined by out-of-clinic hypertension based on ambulatory blood pressure monitoring (ABPM) among adults without hypertension based on blood pressure (BP) measured in the clinic, after adjusting for potential confounders. METHODS: We evaluated sex differences in the prevalence of masked hypertension and the difference between awake, or alternatively 24-h, ambulatory BP and clinic BP using multivariable adjusted models among 658 participants who underwent 24-h ABPM and had clinic SBP/DBP less than 140/90 mmHg during the Year 30 Exam of the Coronary Artery Risk Development in Young Adults study. RESULTS: The mean age ± standard deviation (SD) of the participants was 54.8 ± 3.7 years, 58.4% were women, and 58.2% were black. The prevalence of any masked hypertension was 37.5% among women and 60.6% among men. In a model including adjustment for demographics, cardiovascular risk factors, antihypertensive medication, and clinic BP, the prevalence ratios (95% confidence intervals) comparing men versus women were 1.39 (1.18-1.63) for any masked hypertension, and 1.60 (1.28-1.99), 1.71 (1.36-2.15), and 1.40 (1.13-1.73) for masked awake, 24-h and asleep hypertension, respectively. In a fully adjusted model, the differences between mean awake ambulatory BP and clinic BP were 2.75 [standard error (SE) 0.92] mmHg higher for SBP and 3.61 (SE 0.58) mmHg higher for DBP among men compared with women. CONCLUSION: The prevalence of masked hypertension on ABPM was high in both men and women. Male sex was an independent predictor of masked hypertension.",,"",,,"Pugliese DN, Booth JN, Deng L, Anstey DE, Bello NA, Jaeger BC, Shikany JM, Lloyd-Jones D, Lewis CE, Schwartz JE, Muntner P, Shimbo D","https://www.ncbi.nlm.nih.gov/pubmed/31246891","",,"10.1097/HJH.0000000000002175",,"","1473-5598",,"",,,,,,"J Hypertens","","eng","England",,,,,,,,,,,"2019-06-24","Published online",,,,,,,,,"Sex differences in masked hypertension: the Coronary Artery Risk Development in Young Adults study.","Journal Article",,,,"Journal of Hypertension (0263-6352)","A","JOURNAL OF HYPERTENSION (0263-6352)","4.0850","Journal of Hypertension (0263-6352)","2.065","Journal of Hypertension (0263-6352)","1.857","No",,"yellow","05/02/2019 04:43:28","31246891","PubMed","Journal of Hypertension","SHERPA/RoMEO"
"2162968","Journal article (Peer Reviewed)","24/06/2019",,"OBJECTIVE:To evaluate the association of sex with masked hypertension, defined by out-of-clinic hypertension based on ambulatory blood pressure monitoring (ABPM) among adults without hypertension based on blood pressure (BP) measured in the clinic, after adjusting for potential confounders. METHODS:We evaluated sex differences in the prevalence of masked hypertension and the difference between awake, or alternatively 24-h, ambulatory BP and clinic BP using multivariable adjusted models among 658 participants who underwent 24-h ABPM and had clinic SBP/DBP less than 140/90 mmHg during the Year 30 Exam of the Coronary Artery Risk Development in Young Adults study. RESULTS:The mean age ± standard deviation (SD) of the participants was 54.8 ± 3.7 years, 58.4% were women, and 58.2% were black. The prevalence of any masked hypertension was 37.5% among women and 60.6% among men. In a model including adjustment for demographics, cardiovascular risk factors, antihypertensive medication, and clinic BP, the prevalence ratios (95% confidence intervals) comparing men versus women were 1.39 (1.18-1.63) for any masked hypertension, and 1.60 (1.28-1.99), 1.71 (1.36-2.15), and 1.40 (1.13-1.73) for masked awake, 24-h and asleep hypertension, respectively. In a fully adjusted model, the differences between mean awake ambulatory BP and clinic BP were 2.75 [standard error (SE) 0.92] mmHg higher for SBP and 3.61 (SE 0.58) mmHg higher for DBP among men compared with women. CONCLUSION:The prevalence of masked hypertension on ABPM was high in both men and women. Male sex was an independent predictor of masked hypertension.",,"Department of Medicine, Columbia University, New York, New York.",,,"Pugliese DN, Booth JN, Deng L, Anstey DE, Bello NA, Jaeger BC, Shikany JM, Lloyd-Jones D, Lewis CE, Schwartz JE",,"",,"10.1097/hjh.0000000000002175",,"","1473-5598",,"pubmed:31246891",,,"No","0263-6352",,"Journal of hypertension","","eng",,"Print-Electronic",,,,,,,,,,"2019-06-24","Published",,,,,"2019-06-28",,,,"Sex differences in masked hypertension: the Coronary Artery Risk Development in Young Adults study.","Journal Article",,,"0","Journal of Hypertension (0263-6352)","A","JOURNAL OF HYPERTENSION (0263-6352)","4.0850","Journal of Hypertension (0263-6352)","2.065","Journal of Hypertension (0263-6352)","1.857","No",,"yellow","05/02/2019 04:43:28","MED:31246891","Europe PubMed Central","Journal of Hypertension","SHERPA/RoMEO"
"2140615","Journal article (Peer Reviewed)","21/02/2019",,"In a pilot randomized clinical trial, participants aged ≥60 years (n = 35) with physical limitations and symptomatic knee osteoarthritis (OA) were randomized to 12 weeks of lower-body low-load resistance training with blood-flow restriction (BFR) or moderate-intensity resistance training (MIRT) to evaluate changes in muscle strength, pain, and physical function. Four exercises were performed three times per week to volitional fatigue using 20% and 60% of one repetition maximum (1RM). Study outcomes included knee extensor strength, gait speed, Short Physical Performance Battery (SPPB) performance, and pain via the Western Ontario and McMaster Universities OA Index (WOMAC). Per established guidance for pilot studies, primary analyses for the trial focused on safety, feasibility, and effect sizes/95% confidence intervals of dependent outcomes to inform a fully-powered trial. Across three speeds of movement, the pre- to post-training change in maximal isokinetic peak torque was 9.96 (5.76, 14.16) Nm while the mean difference between groups (BFR relative to MIRT) was -1.87 (-10.96, 7.23) Nm. Most other directionally favored MIRT, though more spontaneous reports of knee pain were observed (n = 14) compared to BFR (n = 3). BFR may have lower efficacy than MIRT in this context-though a fully-powered trial is needed to definitively address this hypothesis.","2019-02-18","",,,"Harper SA, Roberts LM, Layne AS, Jaeger BC, Gardner AK, Sibille KT, Wu SS, Vincent KR, Fillingim RB, Manini TM, Buford TW","https://www.ncbi.nlm.nih.gov/pubmed/30795545","",,"10.3390/jcm8020265",,"",,,"pmc:PMC6406824",,,,"2077-0383","2","J Clin Med","aging, blood-flow restriction, function, osteoarthritis, pain","eng","Switzerland",,,,,,,,,,"jcm8020265","2019-02-21","Published online",,,,,,,,,"Blood-Flow Restriction Resistance Exercise for Older Adults with Knee Osteoarthritis: A Pilot Randomized Clinical Trial.","Journal Article","8",,,,,,,"Journal of Clinical Medicine (2077-0383)","0.31",,,"Yes","CC BY","green","12/01/2018 22:20:24","30795545","PubMed","Journal of Clinical Medicine","DOAJ"
"2140615","Journal article (Peer Reviewed)","21/02/2019",,"In a pilot randomized clinical trial, participants aged ≥60 years (n = 35) with physical limitations and symptomatic knee osteoarthritis (OA) were randomized to 12 weeks of lower-body low-load resistance training with blood-flow restriction (BFR) or moderate-intensity resistance training (MIRT) to evaluate changes in muscle strength, pain, and physical function. Four exercises were performed three times per week to volitional fatigue using 20% and 60% of one repetition maximum (1RM). Study outcomes included knee extensor strength, gait speed, Short Physical Performance Battery (SPPB) performance, and pain via the Western Ontario and McMaster Universities OA Index (WOMAC). Per established guidance for pilot studies, primary analyses for the trial focused on safety, feasibility, and effect sizes/95% confidence intervals of dependent outcomes to inform a fully-powered trial. Across three speeds of movement, the pre- to post-training change in maximal isokinetic peak torque was 9.96 (5.76, 14.16) Nm while the mean difference between groups (BFR relative to MIRT) was -1.87 (-10.96, 7.23) Nm. Most other directionally favored MIRT, though more spontaneous reports of knee pain were observed (n = 14) compared to BFR (n = 3). BFR may have lower efficacy than MIRT in this context-though a fully-powered trial is needed to definitively address this hypothesis.",,"Department of Medicine, University of Alabama at Birmingham, Birmingham, AL 35205, USA. saharper@uabmc.edu.",,,"Harper SA, Roberts LM, Layne AS, Jaeger BC, Gardner AK, Sibille KT, Wu SS, Vincent KR, Fillingim RB, Manini TM",,"",,"10.3390/jcm8020265",,"","2077-0383",,"pubmed:30795545, pmc:PMC6406824",,,"Yes","2077-0383","2","Journal of clinical medicine","","eng",,"Electronic",,,,,,,,,,"2019-02-21","Published",,,"CC BY",,"2019-02-24",,,,"Blood-Flow Restriction Resistance Exercise for Older Adults with Knee Osteoarthritis: A Pilot Randomized Clinical Trial.","research-article, Journal Article","8",,"0",,,,,"Journal of Clinical Medicine (2077-0383)","0.31",,,"Yes","CC BY","green","12/01/2018 22:20:24","MED:30795545","Europe PubMed Central","Journal of Clinical Medicine","DOAJ"
"2138511","Journal article (Peer Reviewed)","06/02/2019",,"This pilot randomized controlled trial (RCT) was designed to provide the preliminary data necessary to conduct a full-scale trial to compare the efficacy of differing first-line antihypertensive medications in improving functional status in older adults, when combined with exercise. The primary objectives were to assess study feasibility, safety, and protocol integrity. Dependent outcomes included gait speed, exercise capacity, body composition, and systemic cardiometabolic biomarkers. Thirty-one physically inactive older adults (70.6 ± 6.1 years) with hypertension and functional limitations were randomly assigned to 1) Perindopril (8 mg/day n = 10), 2) Losartan (100 mg/day; n = 13), or 3) Hydrochlorothiazide (HCTZ: 25 mg/day; n = 8). Participants were also assigned to a 24-week multimodal exercise intervention, separated into an aerobic and concurrent (aerobic + resistance) phase to evaluate potential mode effects. Retention was 84% (26/31), and compliance was >90% and >79% with medication and exercise, respectively. A total of 29 adverse events (Perindopril = 5; Losartan = 12; HCTZ = 11) and one unrelated serious adverse event were observed throughout the trial. Overall, this pilot RCT provided critical data and identified several challenges to ultimately designing and implementing a fully powered trial.","2019-01-31","",,,"Baptista LC, Jaeger BC, Anton SD, Bavry AA, Handberg EM, Gardner AK, Harper SA, Roberts LM, Sandesara B, Carter CS, Buford TW","https://www.ncbi.nlm.nih.gov/pubmed/30736317","",,"10.3390/jcm8020196",,"",,,"pmc:PMC6406861",,,,"2077-0383","2","J Clin Med","aging, angiotensin-converting enzyme inhibitors, antihypertensive medication, exercise, functional status, hypertension","eng","Switzerland",,,,,,,,,,"jcm8020196","2019-02-06","Published online",,,,,,,,,"Multimodal Intervention to Improve Functional Status in Hypertensive Older Adults: A Pilot Randomized Controlled Trial.","Journal Article","8",,,,,,,"Journal of Clinical Medicine (2077-0383)","0.31",,,"Yes","CC BY","green","12/01/2018 22:20:24","30736317","PubMed","Journal of Clinical Medicine","DOAJ"
"2138511","Journal article (Peer Reviewed)","06/02/2019",,"This pilot randomized controlled trial (RCT) was designed to provide the preliminary data necessary to conduct a full-scale trial to compare the efficacy of differing first-line antihypertensive medications in improving functional status in older adults, when combined with exercise. The primary objectives were to assess study feasibility, safety, and protocol integrity. Dependent outcomes included gait speed, exercise capacity, body composition, and systemic cardiometabolic biomarkers. Thirty-one physically inactive older adults (70.6 ± 6.1 years) with hypertension and functional limitations were randomly assigned to 1) Perindopril (8 mg/day n = 10), 2) Losartan (100 mg/day; n = 13), or 3) Hydrochlorothiazide (HCTZ: 25 mg/day; n = 8). Participants were also assigned to a 24-week multimodal exercise intervention, separated into an aerobic and concurrent (aerobic + resistance) phase to evaluate potential mode effects. Retention was 84% (26/31), and compliance was >90% and >79% with medication and exercise, respectively. A total of 29 adverse events (Perindopril = 5; Losartan = 12; HCTZ = 11) and one unrelated serious adverse event were observed throughout the trial. Overall, this pilot RCT provided critical data and identified several challenges to ultimately designing and implementing a fully powered trial.",,"Department of Medicine, Division of Gerontology, Geriatrics and Palliative Care, University of Alabama at Birmingham, Birmingham, AL 35205, USA. lbaptista@uabmc.edu.",,,"Baptista LC, Jaeger BC, Anton SD, Bavry AA, Handberg EM, Gardner AK, Harper SA, Roberts LM, Sandesara B, Carter CS",,"",,"10.3390/jcm8020196",,"","2077-0383",,"pubmed:30736317, pmc:PMC6406861",,,"Yes","2077-0383","2","Journal of clinical medicine","","eng",,"Electronic",,,,,,,,,,"2019-02-06","Published",,,"CC BY",,"2019-02-10",,,,"Multimodal Intervention to Improve Functional Status in Hypertensive Older Adults: A Pilot Randomized Controlled Trial.","research-article, Journal Article","8",,"0",,,,,"Journal of Clinical Medicine (2077-0383)","0.31",,,"Yes","CC BY","green","12/01/2018 22:20:24","MED:30736317","Europe PubMed Central","Journal of Clinical Medicine","DOAJ"
"2137933","Journal article (Peer Reviewed)","05/02/2019",,"©2019 Wiley Periodicals, Inc. Nocturnal hypertension and non-dipping blood pressure are each associated with increased risk of cardiovascular disease. We determined differences in nocturnal hypertension and non-dipping systolic/diastolic blood pressure among black and white men and women who underwent 24-hour ambulatory blood pressure monitoring at the Coronary Artery Risk Development in Young Adults study Year 30 Exam in 2015-2016. Asleep and awake periods were determined from actigraphy complemented by sleep diaries. Nocturnal hypertension was defined as mean asleep systolic/diastolic blood pressure ≥ 120/70 mm Hg. Non-dipping systolic and diastolic blood pressure, separately, were defined as a decline in awake-to-asleep blood pressure < 10%. Among 767 participants, the prevalence of nocturnal hypertension was 18.4% and 44.4% in white and black women, respectively, and 36.4% and 59.9% in white and black men, respectively. After multivariable adjustment and compared with white women, the prevalence ratio (95% confidence interval) for nocturnal hypertension was 1.65 (1.18-2.32) for black women, 1.63 (1.14-2.33) for white men, and 2.01 (1.43-2.82) for black men. The prevalence of non-dipping systolic blood pressure was 21.5% and 41.0% in white and black women, respectively, and 20.2% and 37.9% in white and black men, respectively. Compared with white women, the multivariable-adjusted prevalence ratio (95% confidence interval) for non-dipping systolic blood pressure was 1.66 (1.18-2.32), 0.91 (0.58-1.42) and 1.66 (1.15-2.39) among black women, white men, and black men, respectively. Non-dipping diastolic blood pressure did not differ by race-sex groups following multivariable adjustment. In conclusion, black women and men have a high prevalence of nocturnal hypertension and non-dipping systolic blood pressure.",,"",,,"Booth JN, Anstey DE, Bello NA, Jaeger BC, Pugliese DN, Thomas SJ, Deng L, Shikany JM, Lloyd-Jones D, Schwartz JE, Lewis CE, Shimbo D, Muntner P",,"",,"10.1111/jch.13474",,"","1751-7176",,"pubmed:30719843",,,,"1524-6175","2","Journal of Clinical Hypertension","",,,,,,,,,"184","192",,,"2019-02-01","Published",,,,,,,,,"Race and sex differences in asleep blood pressure: The Coronary Artery Risk Development in Young Adults (CARDIA) study","Journal Article","21",,"1","Journal of Clinical Hypertension (1524-6175)","A","Journal of Clinical Hypertension (1524-6175)","3.2420","Journal of Clinical Hypertension (1524-6175)","0.822","Journal of Clinical Hypertension (1524-6175)","0.790","No",,"yellow","26/04/2018 04:11:58","2-s2.0-85061064960","Scopus","Journal of Clinical Hypertension","SHERPA/RoMEO"
"2137933","Journal article (Peer Reviewed)","05/02/2019",,"Nocturnal hypertension and non-dipping blood pressure are each associated with increased risk of cardiovascular disease. We determined differences in nocturnal hypertension and non-dipping systolic/diastolic blood pressure among black and white men and women who underwent 24-hour ambulatory blood pressure monitoring at the Coronary Artery Risk Development in Young Adults study Year 30 Exam in 2015-2016. Asleep and awake periods were determined from actigraphy complemented by sleep diaries. Nocturnal hypertension was defined as mean asleep systolic/diastolic blood pressure ≥ 120/70 mm Hg. Non-dipping systolic and diastolic blood pressure, separately, were defined as a decline in awake-to-asleep blood pressure < 10%. Among 767 participants, the prevalence of nocturnal hypertension was 18.4% and 44.4% in white and black women, respectively, and 36.4% and 59.9% in white and black men, respectively. After multivariable adjustment and compared with white women, the prevalence ratio (95% confidence interval) for nocturnal hypertension was 1.65 (1.18-2.32) for black women, 1.63 (1.14-2.33) for white men, and 2.01 (1.43-2.82) for black men. The prevalence of non-dipping systolic blood pressure was 21.5% and 41.0% in white and black women, respectively, and 20.2% and 37.9% in white and black men, respectively. Compared with white women, the multivariable-adjusted prevalence ratio (95% confidence interval) for non-dipping systolic blood pressure was 1.66 (1.18-2.32), 0.91 (0.58-1.42) and 1.66 (1.15-2.39) among black women, white men, and black men, respectively. Non-dipping diastolic blood pressure did not differ by race-sex groups following multivariable adjustment. In conclusion, black women and men have a high prevalence of nocturnal hypertension and non-dipping systolic blood pressure.","2018-10-30","",,,"Booth JN, Anstey DE, Bello NA, Jaeger BC, Pugliese DN, Thomas SJ, Deng L, Shikany JM, Lloyd-Jones D, Schwartz JE","https://www.ncbi.nlm.nih.gov/pubmed/30719843","",,"10.1111/jch.13474",,"","1751-7176",,"pmc:PMC6375074, nihms:NIHMS1010813",,,,,"2","J Clin Hypertens (Greenwich)","ambulatory blood pressure monitoring, hypertension, nocturnal hypertension, non-dipping blood pressure, race and sex","eng","United States",,,,,,,"184","192",,,"2019-02","Published",,,,,,,,,"Race and sex differences in asleep blood pressure: The Coronary Artery Risk Development in Young Adults (CARDIA) study.","Journal Article","21",,,"Journal of Clinical Hypertension (1524-6175)","A","Journal of Clinical Hypertension (1524-6175)","3.2420","Journal of Clinical Hypertension (1524-6175)","0.822","Journal of Clinical Hypertension (1524-6175)","0.790","No",,"yellow","26/04/2018 04:11:58","30719843","PubMed","Journal of Clinical Hypertension","SHERPA/RoMEO"
"2137933","Journal article (Peer Reviewed)","05/02/2019",,"Nocturnal hypertension and non-dipping blood pressure are each associated with increased risk of cardiovascular disease. We determined differences in nocturnal hypertension and non-dipping systolic/diastolic blood pressure among black and white men and women who underwent 24-hour ambulatory blood pressure monitoring at the Coronary Artery Risk Development in Young Adults study Year 30 Exam in 2015-2016. Asleep and awake periods were determined from actigraphy complemented by sleep diaries. Nocturnal hypertension was defined as mean asleep systolic/diastolic blood pressure ≥ 120/70 mm Hg. Non-dipping systolic and diastolic blood pressure, separately, were defined as a decline in awake-to-asleep blood pressure < 10%. Among 767 participants, the prevalence of nocturnal hypertension was 18.4% and 44.4% in white and black women, respectively, and 36.4% and 59.9% in white and black men, respectively. After multivariable adjustment and compared with white women, the prevalence ratio (95% confidence interval) for nocturnal hypertension was 1.65 (1.18-2.32) for black women, 1.63 (1.14-2.33) for white men, and 2.01 (1.43-2.82) for black men. The prevalence of non-dipping systolic blood pressure was 21.5% and 41.0% in white and black women, respectively, and 20.2% and 37.9% in white and black men, respectively. Compared with white women, the multivariable-adjusted prevalence ratio (95% confidence interval) for non-dipping systolic blood pressure was 1.66 (1.18-2.32), 0.91 (0.58-1.42) and 1.66 (1.15-2.39) among black women, white men, and black men, respectively. Non-dipping diastolic blood pressure did not differ by race-sex groups following multivariable adjustment. In conclusion, black women and men have a high prevalence of nocturnal hypertension and non-dipping systolic blood pressure.",,"Department of Epidemiology, University of Alabama at Birmingham, Birmingham, Alabama.",,,"Booth JN, Anstey DE, Bello NA, Jaeger BC, Pugliese DN, Thomas SJ, Deng L, Shikany JM, Lloyd-Jones D, Schwartz JE",,"",,"10.1111/jch.13474",,"","1751-7176",,"pubmed:30719843, pmc:PMC6375074",,,"No","1524-6175","2","Journal of clinical hypertension (Greenwich, Conn.)","","eng",,"Print-Electronic",,,,,,"184","192",,,"2019-02-05","Published",,,,,"2019-02-06",,,,"Race and sex differences in asleep blood pressure: The Coronary Artery Risk Development in Young Adults (CARDIA) study.","research-article, Journal Article","21",,"0","Journal of Clinical Hypertension (1524-6175)","A","Journal of Clinical Hypertension (1524-6175)","3.2420","Journal of Clinical Hypertension (1524-6175)","0.822","Journal of Clinical Hypertension (1524-6175)","0.790","No",,"yellow","26/04/2018 04:11:58","MED:30719843","Europe PubMed Central","Journal of Clinical Hypertension","SHERPA/RoMEO"
"2129867","Journal article (Peer Reviewed)","01/01/2019",,"Masked uncontrolled hypertension (MUCH) is defined as controlled automated office blood pressure (BP; AOBP <135/85 mm Hg) in-clinic in patients receiving antihypertensive medication(s) but uncontrolled BP out-of-clinic by 24-hour ambulatory BP monitoring (ABPM; awake ≥135/85 mm Hg). We hypothesized that MUCH patients have greater out-of-clinic sympathetic activity compared with true controlled hypertensives. Patients being treated for hypertension were prospectively recruited after 3 or more consecutive clinic visits. All patients were evaluated by in-clinic automated office BP, plasma catecholamines, and spot-urine/plasma metanephrines. In addition, out-of-clinic 24-hour ABPM, 24-hour urinary for catecholamines and metanephrines was done. Out of 237 patients recruited, 169 patients had controlled in-clinic BP of which 156 patients had completed ABPM. Seventy-four were true controlled hypertensives, that is controlled by clinic automated office BP and by out-of-clinic ABPM. The remaining 82 were controlled by clinic automated office BP, but uncontrolled during out-of-clinic ABPM, indicative of MUCH. After exclusion of 4 patients because of inadequate or lack of 24-hour urinary collections, 72 true controlled hypertensive and 80 MUCH patients were analyzed. MUCH patients had significantly higher out-of-clinic BP variability and lower heart rate variability compared with true controlled hypertensives, as well as higher levels of out-of-clinic urinary catecholamines and metanephrines levels consistent with higher out-of-clinic sympathetic activity. In contrast, there was no difference in in-clinic plasma catecholamines and spot-urine/plasma levels of metanephrines between the 2 groups, consistent with similar levels of sympathetic activity while in clinic. MUCH patients have evidence of heightened out-of-clinic sympathetic activity compared with true controlled hypertensives, which may contribute to the development of MUCH.",,"",,,"Siddiqui M, Judd EK, Jaeger BC, Bhatt H, Dudenbostel T, Zhang B, Edwards LJ, Oparil S, Calhoun DA",,"",,"10.1161/HYPERTENSIONAHA.118.11818",,"","1524-4563",,"pubmed:30571547",,,,,"1","Hypertension (Dallas, Tex. : 1979)","",,,,,,,,,"132","141",,,"2019-01-01","Published",,,,,,,,,"Out-of-Clinic Sympathetic Activity Is Increased in Patients With Masked Uncontrolled Hypertension","Journal Article","73",,"0","Hypertension (0073-425X)","A*","HYPERTENSION (0194-911X)","6.8570","Hypertension (0194-911X)","3.186","Hypertension (0194-911X)","1.852","No",,"yellow","06/11/2018 04:09:39","2-s2.0-85058922319","Scopus","Hypertension","SHERPA/RoMEO"
